tipo,nome,repositorio,kingdom,tag,url
taxa,Flora e Funga do Brasil,jbrj,Plantae;Fungi,lista_especies_flora_brasil,https://ipt.jbrj.gov.br/jbrj/
taxa,Catalogo Taxonomico da Fauna do Brasil,jbrj,Animalia,catalogo_taxonomico_da_fauna_do_brasil,https://ipt.jbrj.gov.br/jbrj/
ocorrencias,Acari Collection - Instituto Nacional de Pesquisas da Amazônia,inpa,Animalia,inpa_acari,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Amblypygi Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_amblypygi,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Blattaria Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_blattaria,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Chilopoda Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_chilopoda,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Crustacea Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_crustacea,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Diplopoda Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_diplopoda,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Diptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_diptera,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Ephemeroptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_ephemenoptera,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Hemiptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_hemiptera,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Herbarium - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Plantae,inpa_herbario,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Herpetology Collection - Instituto Nacional de Pesquisas da Amazônia,inpa,Animalia,inpa_herpetologia,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Hymenoptera Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_hymenoptera,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Ictiologia Collection - Instituto Nacional de Pesquisas da Amazônia (INPA),inpa,Animalia,inpa_ictiologia,https://ipt.sibbr.gov.br/inpa/
ocorrencias,Myxozoa Collection - Instituto Nacional de Pesquisas da Amazônia,inpa,Animalia,inpa_myxozoa,https://ipt.sibbr.gov.br/inpa/
